PERMNO,date,vwretd
21723,2021-07-29,0.004547
21723,2021-07-30,-0.005629
21723,2021-08-02,-0.001350
21723,2021-08-03,0.006796
21723,2021-08-04,-0.003965
21723,2021-08-05,0.007173
21723,2021-08-06,0.000825
21723,2021-08-09,-0.000405
21723,2021-08-10,0.000668
21723,2021-08-11,0.002429
21723,2021-08-12,0.001978
21723,2021-08-13,0.000280
21723,2021-08-16,-0.000843
21723,2021-08-17,-0.007821
21723,2021-08-18,-0.008858
21723,2021-08-19,-0.002259
21723,2021-08-20,0.008679
21723,2021-08-23,0.010518
21723,2021-08-24,0.004232
21723,2021-08-25,0.002593
21723,2021-08-26,-0.006469
21723,2021-08-27,0.010965
21723,2021-08-30,0.003027
21723,2021-08-31,-0.001063
21723,2021-09-01,0.001985
21723,2021-09-02,0.004125
21723,2021-09-03,-0.000078
21723,2021-09-07,-0.004163
21723,2021-09-08,-0.003491
21723,2021-09-09,-0.002862
21723,2021-09-10,-0.007309
21723,2021-09-13,0.001957
21723,2021-09-14,-0.006226
21723,2021-09-15,0.008518
21723,2021-09-16,-0.000877
21723,2021-09-17,-0.007397
21723,2021-09-20,-0.018222
21723,2021-09-21,0.000856
21723,2021-09-22,0.009965
21723,2021-09-23,0.012060
21723,2021-09-24,-0.000111
21723,2021-09-27,-0.000980
21723,2021-09-28,-0.020769
21723,2021-09-29,-0.000069
21723,2021-09-30,-0.009500
21723,2021-10-01,0.010643
21723,2021-10-04,-0.012878
21723,2021-10-05,0.009502
21723,2021-10-06,0.002818
21723,2021-10-07,0.009925
21723,2021-10-08,-0.002520
21723,2021-10-11,-0.006344
21723,2021-10-12,0.000236
21723,2021-10-13,0.004802
21723,2021-10-14,0.015965
21723,2021-10-15,0.005721
21723,2021-10-18,0.003275
21723,2021-10-19,0.006813
21723,2021-10-20,0.003892
21723,2021-10-21,0.002944
21723,2021-10-22,-0.001700
21723,2021-10-25,0.005483
21723,2021-10-26,-0.000059
21723,2021-10-27,-0.007541
21723,2021-10-28,0.011248
21723,2021-10-29,0.000973
21723,2021-11-01,0.005685
21723,2021-11-02,0.002035
21723,2021-11-03,0.007317
21723,2021-11-04,0.002951
21723,2021-11-05,0.004007
21723,2021-11-08,0.001985
21723,2021-11-09,-0.002888
21723,2021-11-10,-0.010458
21723,2021-11-11,0.002449
21723,2021-11-12,0.007136
21723,2021-11-15,-0.000328
21723,2021-11-16,0.004036
21723,2021-11-17,-0.004441
21723,2021-11-18,0.000267
21723,2021-11-19,-0.002866
21723,2021-11-22,-0.006220
21723,2021-11-23,-0.000289
21723,2021-11-24,0.003215
21723,2021-11-26,-0.022333
21723,2021-11-29,0.010084
21723,2021-11-30,-0.019130
21723,2021-12-01,-0.015120
21723,2021-12-02,0.015404
21723,2021-12-03,-0.011375
21723,2021-12-06,0.011801
21723,2021-12-07,0.021576
21723,2021-12-08,0.004299
21723,2021-12-09,-0.010779
21723,2021-12-10,0.006154
21723,2021-12-13,-0.009868
21723,2021-12-14,-0.007689
21723,2021-12-15,0.015057
21723,2021-12-16,-0.010042
21723,2021-12-17,-0.006259
21723,2021-12-20,-0.012320
21723,2021-12-21,0.019936
21723,2021-12-22,0.009573
21723,2021-12-23,0.006854
21723,2021-12-27,0.012046
21723,2021-12-28,-0.002438
21723,2021-12-29,0.000553
21723,2021-12-30,-0.000979
21723,2021-12-31,-0.002389
21723,2022-01-03,0.006155
21723,2022-01-04,-0.002351
21723,2022-01-05,-0.021879
21723,2022-01-06,0.000161
21723,2022-01-07,-0.004164
21723,2022-01-10,-0.001893
21723,2022-01-11,0.010905
21723,2022-01-12,0.001817
21723,2022-01-13,-0.014356
21723,2022-01-14,0.000164
21723,2022-01-18,-0.019346
21723,2022-01-19,-0.009368
21723,2022-01-20,-0.010991
21723,2022-01-21,-0.019931
21723,2022-01-24,0.004196
21723,2022-01-25,-0.012440
21723,2022-01-26,-0.003579
21723,2022-01-27,-0.008106
21723,2022-01-28,0.022473
21723,2022-01-31,0.022431
21723,2022-02-01,0.008548
21723,2022-02-02,0.004746
21723,2022-02-03,-0.023331
21723,2022-02-04,0.007243
21723,2022-02-07,-0.001807
21723,2022-02-08,0.009147
21723,2022-02-09,0.016251
21723,2022-02-10,-0.016293
21723,2022-02-11,-0.017672
21723,2022-02-14,-0.004128
21723,2022-02-15,0.017622
21723,2022-02-16,0.000308
21723,2022-02-17,-0.021239
21723,2022-02-18,-0.008297
21723,2022-02-22,-0.011235
21723,2022-02-23,-0.018075
21723,2022-02-24,0.016083
21723,2022-02-25,0.022121
21723,2022-02-28,-0.000365
21723,2022-03-01,-0.015027
21723,2022-03-02,0.017773
21723,2022-03-03,-0.008077
21723,2022-03-04,-0.010171
21723,2022-03-07,-0.029143
21723,2022-03-08,-0.004392
21723,2022-03-09,0.026287
21723,2022-03-10,-0.004184
21723,2022-03-11,-0.013741
21723,2022-03-14,-0.010539
21723,2022-03-15,0.019118
21723,2022-03-16,0.025417
21723,2022-03-17,0.013941
21723,2022-03-18,0.012298
21723,2022-03-21,-0.001730
21723,2022-03-22,0.011770
21723,2022-03-23,-0.011877
21723,2022-03-24,0.013111
21723,2022-03-25,0.003084
21723,2022-03-28,0.006122
21723,2022-03-29,0.014708
21723,2022-03-30,-0.007642
21723,2022-03-31,-0.014539
21723,2022-04-01,0.004477
21723,2022-04-04,0.008315
21723,2022-04-05,-0.014787
21723,2022-04-06,-0.011276
21723,2022-04-07,0.002480
21723,2022-04-08,-0.003214
21723,2022-04-11,-0.014385
21723,2022-04-12,-0.002728
21723,2022-04-13,0.013356
21723,2022-04-14,-0.011685
21723,2022-04-18,-0.002124
21723,2022-04-19,0.016324
21723,2022-04-20,-0.000861
21723,2022-04-21,-0.016871
21723,2022-04-22,-0.026382
21723,2022-04-25,0.005326
21723,2022-04-26,-0.028338
21723,2022-04-27,0.001297
21723,2022-04-28,0.022979
21723,2022-04-29,-0.033543
21723,2022-05-02,0.005966
21723,2022-05-03,0.005109
21723,2022-05-04,0.027983
21723,2022-05-05,-0.036281
21723,2022-05-06,-0.008396
21723,2022-05-09,-0.035487
21723,2022-05-10,0.001277
21723,2022-05-11,-0.017115
21723,2022-05-12,0.001470
21723,2022-05-13,0.026999
21723,2022-05-16,-0.004679
21723,2022-05-17,0.020557
21723,2022-05-18,-0.037661
21723,2022-05-19,-0.002115
21723,2022-05-20,-0.000026
21723,2022-05-23,0.016398
21723,2022-05-24,-0.010605
21723,2022-05-25,0.011199
21723,2022-05-26,0.019776
21723,2022-05-27,0.024482
21723,2022-05-31,-0.006957
21723,2022-06-01,-0.006968
21723,2022-06-02,0.020266
21723,2022-06-03,-0.015360
21723,2022-06-06,0.002954
21723,2022-06-07,0.009806
21723,2022-06-08,-0.010409
21723,2022-06-09,-0.023580
21723,2022-06-10,-0.028242
21723,2022-06-13,-0.040683
21723,2022-06-14,-0.003455
21723,2022-06-15,0.014988
21723,2022-06-16,-0.034246
21723,2022-06-17,0.004000
21723,2022-06-21,0.022508
21723,2022-06-22,-0.002209
21723,2022-06-23,0.009173
21723,2022-06-24,0.029803
21723,2022-06-27,-0.002129
21723,2022-06-28,-0.018708
21723,2022-06-29,-0.002681
21723,2022-06-30,-0.008945
21723,2022-07-01,0.011007
21723,2022-07-05,0.002031
21723,2022-07-06,0.000678
21723,2022-07-07,0.016903
21723,2022-07-08,-0.000824
21723,2022-07-11,-0.013163
21723,2022-07-12,-0.008058
21723,2022-07-13,-0.003428
21723,2022-07-14,-0.005548
21723,2022-07-15,0.018546
21723,2022-07-18,-0.005552
